yougile_title,yougile_guid,tim_name,tim_guid,gitlab_name,gitlab_id
Мониторинг синхронизации модели,1a6c4549-3374-4389-bf7b-f34e6f05f363,AtomModelSynchronization,d6cbebed-209f-4baf-a6a5-e054ce906084,Нет в gitlab,
Подбор изоляции труб,9eea2b11-455d-437d-8301-df0019cf4187,AtomPipeInsulationSelection,e2a27145-e5fe-4f98-b82d-948170064e25,AtomPipeInsulationSelection,39.0
Автоподбор изоляции труб (возможность нанесения изоляции),38e170f3-b112-4511-a08e-00048908d64d,AtomPipeInsulationSelection,e2a27145-e5fe-4f98-b82d-948170064e25,AtomPipeInsulationSelection,39.0
Расстановка оборудования ВК,d3b4901b-4102-40c6-b8a0-0a7290f003a5,AtomPlumbingEquipmentPlacement,a6d74030-bf62-43a9-b71c-5391a7fdf38f,AtomPlumbingEquipmentPlacement,61.0
Расставить коробки,50df79ae-ff41-4183-b948-cf10dae56f44,Нет в таблице plugin,,Нет в gitlab,
Параметры арматуры,8402af64-ea86-4c1c-a0c5-f28f355edca0,Нет в таблице plugin,,Нет в gitlab,
Эскиз арматуры,00a1976d-7dd7-4744-8e77-13bc0cf34f41,AtomRebarSketch,f9403064-2cb4-4784-a8bd-a6436e229dfb,AtomRebarSketch,65.0
Определение геометрического центра помещений,1576a749-9c0c-4bb0-a0d7-b01ca3ff8165,AtomRoomCenterPoint,7c1cfc4f-176f-497c-a972-e0df3143e352,AtomRoomCenterPoint,34.0
Шахматка,ace03c0f-6d76-4685-87d3-65b00ee64105,AtomRoomChess,60196ea2-250c-4b22-8032-24740df83662,AtomRoomChess,33.0
Вытягивание помещений по высоте,3828fa5c-ad47-4c66-812d-3a46db634d53,AtomRoomHeightEnhancement,dd38e2aa-8b47-43f8-b763-6fdd0212cd1c,AtomRoomHeightEnhancement,28.0
Список помещений,183abecf-6dce-449a-8933-88014d7bf422,AtomRoomList,60a038d6-5973-4054-bc1f-c0df259e7cc5,AtomRoomList,26.0
Нумерация помещений,6ebdc194-094d-4f72-9be1-77f60b700514,AtomRoomNumber,bd675d15-20c0-4d4a-b2f4-823d34798e99,AtomRoomNumber,38.0
Параметры помещения,1da5c2ff-caaa-44cd-8e0b-2ceed0f30ace,AtomRoomParameters,091bc2d3-55e1-4284-b47e-6f22bb61e6b9,AtomRoomParameters,36.0
Проектная декларация,94a749f8-deb3-4a2b-8fa1-a0b5bb00f256,AtomRoomProjectDeclaration,fd1beb6a-8a9c-4aa8-a9da-b1b22db6771e,AtomRoomProjectDeclaration,29.0
Формирование спецификаций ЭЛ,9e3d017a-2c2f-4879-b9ec-30dcf88d0af8,Нет в таблице plugin,,Нет в gitlab,
Способ монтажа,f008c6b0-c854-4007-bd90-7c2c8b56bbcf,AtomSetInstallMethod,6ffccd31-6bc2-4ab8-8132-9fa89aabdc6f,AtomSetInstallMethod,71.0
Параметры АСК для Teslabim,bf901cc4-280d-41d3-a294-f00d3565e878,AtomSetParamsFromTesla,76c364d1-caa3-4e53-a748-ec45f4b15648,AtomSetParamsFromTesla,42.0
Тип систем,6060e08b-f69b-40e1-a1c6-2dd556e0679b,AtomTypeSystem,d2431b1e-6ba4-427f-b443-60c82fe8b603,AtomTypeSystem,70.0
Модуль автообновления плагинов,ef895aa3-68f5-4296-a542-302455c310a0,Нет в таблице plugin,,Нет в gitlab,
Армирование стен,2d9e05c7-0f36-404b-90a8-0644acdc0004,AtomWallReinforcement,13626354-de03-494b-b24c-9958f4a1704c,AtomWallReinforcement,27.0
AtomAPI,580090c8-f8fc-4f53-8b26-902b8b3348a6,Нет в таблице plugin,,AtomAPI,17.0
Проверка файлов AutoCad,c6e0fc7c-7583-4272-9077-00e9753a40d1,Нет в таблице plugin,,AtomCreatePDF,66.0
Сервер: Web API,08201e48-1727-4c04-9a7b-030b0ea7f654,Нет в таблице plugin,,AtomCommonWebApp,21.0
Документация по Civil 3D,16ed7988-9772-4e04-b04d-20805caf6db1,Нет в таблице plugin,,Нет в gitlab,
Диспетчер заданий,4af8d693-401b-4ce6-ac6d-049112bb1681,Нет в таблице plugin,,Нет в gitlab,
Маркировка схем,8000e215-9f94-4b0f-b4d5-4aef8c0915b8,Нет в таблице plugin,,Нет в gitlab,
Сайт: Библиотека семейств,eac5c9fd-87e5-452b-9036-e1c8fb2800fd,Нет в таблице plugin,,Нет в gitlab,
Длина выделенных элементов,1eec4283-60ec-4055-9976-c0cf1c9e61ac,Нет в таблице plugin,,Нет в gitlab,
Обновление плагина Спецификация ЭЛ,33cb0814-89b1-4002-bd85-47e0b3cbb652,Нет в таблице plugin,,Нет в gitlab,
Параметры полов,fb4c716f-0944-4e9a-9e51-d9ff8f7d3776,Нет в таблице plugin,,Нет в gitlab,
Кабельные трассы,fabf46dc-310f-4c7a-ab86-a5ff78f47d26,Нет в таблице plugin,,Нет в gitlab,
Заполнение параметров ТХ,6d30fe7a-7ce3-44a1-9d32-a9c359534e04,Нет в таблице plugin,,Нет в gitlab,
Панель администратора,bd5755b0-3ee4-4634-98cd-37f6b3195311,Нет в таблице plugin,,Нет в gitlab,
Мониторинг измененных элементов модели,9778e631-d54f-4c9f-b332-552b1617b516,Нет в таблице plugin,,Нет в gitlab,
Менеджер плагинов,97e10cff-792f-4e0a-b509-2abfb5e50147,Нет в таблице plugin,,Нет в gitlab,
Кабельные лотки,30f2ee9d-70c1-48b6-a8df-e49a678e0be3,Нет в таблице plugin,,Нет в gitlab,
Стандартизировать макет окна стандартного плагина,46012156-6227-4059-bff4-0d361ab223fe,Нет в таблице plugin,,Нет в gitlab,
Рефакторинг плагинов,77fa2380-0009-46db-97e3-0f66a07959a6,Нет в таблице plugin,,Нет в gitlab,
САЙТ: Раздел инструкций,d0a17005-5514-4165-9a48-a3bb9657e0e3,Нет в таблице plugin,,Нет в gitlab,
Кнопка загрузки быстрых ссылок на поверхности и существующие сети,0a032f91-b8a1-4a5d-be25-3fe1bcbc608c,Нет в таблице plugin,,Нет в gitlab,
Мониторинг запуска плагинов,1dbd2440-4309-4088-bc97-6fe6c0c102a3,Нет в таблице plugin,,Нет в gitlab,
AtomRevit,b0a07d00-8c06-4887-834c-28440e8564ad,Нет в таблице plugin,,AtomRevit,106.0
Civil3d Запись параметров в 3D объекты,6728dc87-4773-4730-a71a-f75c2ef61457,Нет в таблице plugin,,Нет в gitlab,
Размещение групп (модульное проектирование),5be61d3e-0cc2-4a05-b887-93e0d3437e99,Нет в таблице plugin,,Нет в gitlab,
Установщик менеджера плагинов,467e110f-3a71-47cc-9170-9794bc1d056a,Нет в таблице plugin,,Нет в gitlab,
Автонумерация квартир,10e2e8a6-0394-43c6-af87-62bf03726ef5,Нет в таблице plugin,,Нет в gitlab,
Конфигуратор плагинов,d35ae890-ce84-4440-8c5c-13d488a55862,Нет в таблице plugin,,Нет в gitlab,
