"","Раздел","Категория Revit","Семейство","Версия","Описание изменения","Ответственный","Путь"
"20.11.2020","АР","Элементы узла","АСК_Эл. узла_Перекрытие для вентканала","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Вентканалы\АСК_Эл. узла_Перекрытие для вентканала (v1.0.1).rfa"
"20.11.2020","АР","Элементы узла","АСК_Эл. узла_Профиль_Импост витража_Упрощ","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Витражи\АСК_Эл. узла_Профиль_Импост витража_Упрощ (v1.0.1).rfa"
"27.11.2020","ВК","Аннотации","АСК_Марка_Трубы_Диаметр_Толщина стенки_Тип системы","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Трубы\АСК_Марка_Трубы_Диаметр_Толщина стенки_Тип системы (1.0.1).rfa"
"09.12.2020","АР","Элементы узла","АСК_Эл. узла_Дюбель","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Дюбель (v1.0.1).rfa"
"12.12.2020","АР","Элементы узла","АСК_Эл. узла_Профиль","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Профиль (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Внутр. откр","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Внутр. откр (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Наруж. откр","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Наруж. откр (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Сверху","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Сверху (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Снизу","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Снизу (v1.0.1).rfa"
"20.01.2021","АР","Элементы узла","АСК_Эл. узла_Воронка_Прямая","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Воронки\АСК_Эл. узла_Воронка_Прямая (v1.0.1).rfa"
"02.02.2021","ВК","Аннотации","АСК_Марка_Арм. труб_Марка","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Арматура труб\АСК_Марка_Арм. труб_Марка (v1.0.1).rfa"
"02.02.2021","ВК","Аннотации","АСК_Марка_Оборудования_Марка","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Оборудование\АСК_Марка_Оборудования_Марка (v1.0.1).rfa"
"02.02.2021","ВК","Аннотации","","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Сантех. приборы\АСК_Марка_Сантех. приборы_Марка (v1.0.1).rfa"
"04.02.2021","АР","Элементы узла","АСК_Эл. узла_Ограждение","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Ограждение (v1.0.1).rfa"
"05.02.2021","АР","Элементы узла","АСК_Эл. узла_Воронка_Надставной элемент","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Воронки\АСК_Эл. узла_Воронка_Надставной элемент (v1.0.1).rfa"
"12.02.2021","АР","Элементы узла","АСК_Эл. узла_Ручка_ПВХ_Вид спереди","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Окна ПВХ\АСК_Эл. узла_Ручка_ПВХ_Вид спереди (v1.0.1).rfa"
"12.04.2021","ВК","Аннотации","АСК_Марка_Спринклеры_Марка","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Спринклеры\АСК_Марка_Спринклеры_Марка (v1.0.1).rfa"
"12.04.2021","ВК","Аннотации","АСК_Марка_Спринклеры_Описание","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Спринклеры\АСК_Марка_Спринклеры_Описание (v1.0.1).rfa"
"20.04.2021","АР","Элементы узла","АСК_Эл. узла_Дверной блок_Верх витража","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Витражи\АСК_Эл. узла_Дверной блок_Верх витража (v1.0.1).rfa"
"29.04.2021","ВК","Арматура трубопроводов","АСК_Узел_Управления_Спринклерный_Воздушный_Спецавтоматика","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Арматура трубопроводов\Узел_Управления_Спринклерный_Воздушный_Спецавтоматика\АСК_Узел_Управления_Спринклерный_Воздушный_Спецавтоматика (v1.0.1).rfa"
"14.05.2021","АР","Обобщенные модели","АСК_Линия разрезки_Вертикальная","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Прочее\АСК_Линия разрезки_Вертикальная (v1.0.1).rfa"
"14.05.2021","АР","Обобщенные модели","АСК_Линия разрезки_Горизонтальная","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Прочее\АСК_Линия разрезки_Горизонтальная (v1.0.1).rfa"
"06.07.2021","АР","Элементы узла","АСК_Эл. узла_Нащельник_Форма 3.3","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Нащельник_Форма 3.3 (v1.0.1).rfa"
"12.07.2021","АР","Элементы узла","АСК_Эл. узла_Фрагмент","2.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Фрагмент (v2.0.1).rfa"
"12.07.2021","АР","Элементы узла","АСК_Эл. узла_Линия обрыва","2.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Линии обрыва\АСК_Эл. узла_Линия обрыва (v2.0.1).rfa"
"12.07.2021","АР","Элементы узла","АСК_Эл. узла_Линия обрыва марша","2.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Линии обрыва\АСК_Эл. узла_Линия обрыва марша (v2.0.1).rfa"
"12.07.2021","АР","Элементы узла","АСК_Эл. узла_Линия обрыва_Волнистая","2.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Линии обрыва\АСК_Эл. узла_Линия обрыва_Волнистая (v2.0.1).rfa"
"12.07.2021","АР","Элементы узла","АСК_Эл. узла_Фартук парапета_Форма 7.1","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Фартук парапета_Форма 7.1 (v1.0.1).rfa"
"13.07.2021","АР","Аннотации","АСК_Марка_Тип семейства","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Аннотации\Марки\Несколько категорий\АСК_Марка_Тип семейства (v1.0.1).rfa"
"13.07.2021","АР","Элементы узла","АСК_Эл. узла_Граница пожарного отсека","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Граница пожарного отсека (v1.0.1).rfa"
"13.07.2021","АР","Элементы узла","АСК_Эл. узла_Линия армирования","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Линия армирования (v1.0.1).rfa"
