"","Раздел","Категория Revit","Семейство","Версия","Описание изменения","Ответственный","Путь"
"18.07.2022","ТХ","Оборудование","АСК_МФУ","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_МФУ (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Ноутбук","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Ноутбук (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Облучатель-рецируклятор воздуха","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Облучатель-рецируклятор воздуха (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Облучатель-рецируклятор воздуха_Горизонтальный_1 лампа","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Облучатель-рецируклятор воздуха_Горизонтальный_1 лампа (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Облучатель-рецируклятор воздуха_Горизонтальный_2 лампы","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Облучатель-рецируклятор воздуха_Горизонтальный_2 лампы (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Полотенцесушитель_Электрический","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Полотенцесушитель_Электрический (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Прилавок","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Прилавок (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Прилавок_Тип 1","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Прилавок_Тип 1 (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Принтер","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Принтер (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Светильник настольный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Светильник настольный (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Стерилизатор ножей","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Стерилизатор ножей (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Стол_Предмоечный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Стол_Предмоечный (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Сушилка для рук_Напольная","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Сушилка для рук_Напольная (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Тележка_Грузовая","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Тележка_Грузовая (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Утюг","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Утюг (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Фен_Настенный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Фен_Настенный (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Холодильный шкаф_Тип 1","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Холодильный шкаф_Тип 1 (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Холодильный шкаф_Тип 2","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Холодильный шкаф_Тип 2 (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Чайник","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Чайник (v1.0.1).rfa"
"18.07.2022","ТХ","Оборудование","АСК_Шкаф_Сушильный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Шкаф_Сушильный (v1.0.1).rfa"
"19.07.2022","ОВ","Аннотации","АСК_Марка_Арм.Воздуховодов_Марка_Тип системы_РазмерыШВ","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Аннотации\Марки арм. воздуховодов\АСК_Марка_Арм.Воздуховодов_Марка_Тип системы_РазмерыШВ (v1.0.1).rfa"
"19.07.2022","ТХ","Мебель","АСК_Перегородка_Мобильная","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Перегородка_Мобильная (v1.0.1).rfa"
"19.07.2022","ТХ","Мебель","АСК_Стеллаж_4 полки","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стеллаж_4 полки (v1.0.1).rfa"
"19.07.2022","ТХ","Мебель","АСК_Стеллаж_Библиотечный_Двусторонний","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стеллаж_Библиотечный_Двусторонний (v1.0.1).rfa"
"19.07.2022","ТХ","Мебель","АСК_Стеллаж_Библиотечный_Односторонний","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стеллаж_Библиотечный_Односторонний (v1.0.1).rfa"
"19.07.2022","ТХ","Мебель","АСК_Стол_Круглый_3 ножки","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Круглый_3 ножки (v1.0.1).rfa"
"19.07.2022","ТХ","Мебель","АСК_Стул_ISCU MAC","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стул_ISCU MAC (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Весы","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Весы (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Гончарный круг","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Гончарный круг (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Душ_Рулетка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Душ_Рулетка (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Колонка звуковая","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Колонка звуковая (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Компьютер офисный_Комплект","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Компьютер офисный_Комплект (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Монитор","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Монитор (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Мукопросеиватель","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Мукопросеиватель (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Мясорубка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Мясорубка (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Мясорубка_","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Мясорубка_ (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Системный блок","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Системный блок (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Тележка_Хранилище для ноутбуков","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Тележка_Хранилище для ноутбуков (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Точило","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Точило (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Фортепиано","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Фортепиано (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Швейная машина","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Швейная машина (v1.0.1).rfa"
"19.07.2022","ТХ","Оборудование","АСК_Шкаф_Для стерилизации посуды","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Шкаф_Для стерилизации посуды (v1.0.1).rfa"
"20.07.2022","ВК","Сантехнические приборы","АСК_Поддон_Стальной_Эмаль_ГОСТ 23695-2016","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Сантехнические приборы\Поддон_Стальной_Эмаль_ГОСТ 23695-2016\АСК_Поддон_Стальной_Эмаль_ГОСТ 23695-2016 (v1.0.1).rfa"
"20.07.2022","ОВ","Аннотации","АСК_Марка_Воздухораспределителей_Описание_Наименование","1.0.2","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Аннотации\Марки воздухораспределителей\АСК_Марка_Воздухораспределителей_Описание_Наименование (v1.0.2).rfa"
"20.07.2022","ТХ","Мебель","АСК_Фон_Для фотографии","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Фон_Для фотографии (v1.0.1).rfa"
"20.07.2022","ТХ","Оборудование","АСК_Беговая дорожка_Детская","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Беговая дорожка_Детская (v1.0.1).rfa"
"20.07.2022","ТХ","Оборудование","АСК_Велотренажёр","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Велотренажёр (v1.0.1).rfa"
"20.07.2022","ТХ","Оборудование","АСК_Стол_Гримёрный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Стол_Гримёрный (v1.0.1).rfa"
"20.07.2022","ТХ","Оборудование","АСК_Стол_Демонстрационный с розетками","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Стол_Демонстрационный с розетками (v1.0.1).rfa"
"20.07.2022","ТХ","Оборудование","АСК_Тренажёр_Приведение бедра","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Тренажёр_Приведение бедра (v1.0.1).rfa"
"20.07.2022","ТХ","Оборудование","АСК_Тренажёр_Скамья для подъёма туловища","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Тренажёр_Скамья для подъёма туловища (v1.0.1).rfa"
"21.07.2022","ТХ","Мебель","АСК_Вешалка_Напольная_Мобильная","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Вешалка_Напольная_Мобильная (v1.0.1).rfa"
"21.07.2022","ТХ","Мебель","АСК_Диван_Двухместный_Тип 2","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Диван_Двухместный_Тип 2 (v1.0.1).rfa"
"21.07.2022","ТХ","Мебель","АСК_Пуф_Sixinch Wheel","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Пуф_Sixinch Wheel (v1.0.1).rfa"
"21.07.2022","ТХ","Мебель","АСК_Стол_Приставной","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Приставной (v1.0.1).rfa"
"21.07.2022","ТХ","Мебель","АСК_Стол_С ящиками","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_С ящиками (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_3D сканер","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_3D сканер (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_POS-система","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_POS-система (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_RFID-станция","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_RFID-станция (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Весы_Медицинские с ростомером","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Весы_Медицинские с ростомером (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Весы_Напольные","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Весы_Напольные (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Инсектицидная лампа","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Инсектицидная лампа (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Информационный киоск","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Информационный киоск (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Печь_Для фьюзинга","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Печь_Для фьюзинга (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Сверлильный станок","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Сверлильный станок (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Светильник_Медицинский","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Светильник_Медицинский (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Холодильник_Однодверный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Холодильник_Однодверный (v1.0.1).rfa"
"21.07.2022","ТХ","Оборудование","АСК_Электронное устройство","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Электронное устройство (v1.0.1).rfa"
"22.07.2022","ТХ","Мебель","АСК_Держатель","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Держатель (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Блендер","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Блендер (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Камера видео-наблюдения","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Камера видео-наблюдения (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Колонка звуковая_2 шт","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Колонка звуковая_2 шт (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Кофемашина","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Кофемашина (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Машина кухонная","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Машина кухонная (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Миксер_Ручной","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Миксер_Ручной (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Овощерезка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Овощерезка (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Паяльная станция","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Паяльная станция (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Сетевой фильтр","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Сетевой фильтр (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Слайсер","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Слайсер (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Стол_Охлаждаемый","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Стол_Охлаждаемый (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Таблица_Для проверки зрения","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Таблица_Для проверки зрения (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Тележка_Для отходов","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Тележка_Для отходов (v1.0.1).rfa"
"22.07.2022","ТХ","Оборудование","АСК_Хлеборезка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Хлеборезка (v1.0.1).rfa"
"25.07.2022","АР","Обобщенные модели","АСК_Люк_Без основы_Металлический","1.0.2","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Лючки и люки (Обобщенные модели)\АСК_Люк_Без основы_Металлический (v1.0.2).rfa"
"25.07.2022","ТХ","Мебель","АСК_Кушетка_Медицинская","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Кушетка_Медицинская (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_3D принтер_Тип 2","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_3D принтер_Тип 2 (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_VR-шлем","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_VR-шлем (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Аппарат для отпугивания грызунов","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Аппарат для отпугивания грызунов (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Баня лабораторная","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Баня лабораторная (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Индукционная плита_Лабораторная","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Индукционная плита_Лабораторная (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Источник тока","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Источник тока (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Колбонагреватель","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Колбонагреватель (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Комплект света","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Комплект света (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Микроскоп","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Микроскоп (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Микроскоп_Электронный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Микроскоп_Электронный (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Овоскоп","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Овоскоп (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Станция самообслуживания","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Станция самообслуживания (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Фортепиано_Настольное","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Фортепиано_Настольное (v1.0.1).rfa"
"25.07.2022","ТХ","Оборудование","АСК_Электродрель","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Электродрель (v1.0.1).rfa"
"26.07.2022","ОВ","Оборудование","АСК_Стакан монтажный_GTK_Korf","1.0.4","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Вентиляторы\Korf\Крышные\АСК_Стакан монтажный_GTK_Korf (v1.0.4).rfa"
"26.07.2022","ТХ","Мебель","АСК_Лавка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Лавка (v1.0.1).rfa"
"26.07.2022","ТХ","Мебель","АСК_Стол_Для швейных машин","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Для швейных машин (v1.0.1).rfa"
"26.07.2022","ТХ","Мебель","АСК_Стол_Лабораторный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Лабораторный (v1.0.1).rfa"
"26.07.2022","ТХ","Мебель","АСК_Стол_Рабочий_На опорной тумбе","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Рабочий_На опорной тумбе (v1.0.1).rfa"
"26.07.2022","ТХ","Мебель","АСК_Стол_Рабочий_Сплошные ножки_Тумбочка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Рабочий_Сплошные ножки_Тумбочка (v1.0.1).rfa"
"26.07.2022","ТХ","Мебель","АСК_Ширма_Медицинская","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Ширма_Медицинская (v1.0.1).rfa"
"26.07.2022","ТХ","Оборудование","АСК_Аппарат котлетный","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Аппарат котлетный (v1.0.1).rfa"
"26.07.2022","ТХ","Оборудование","АСК_Деструктор игл","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Деструктор игл (v1.0.1).rfa"
"26.07.2022","ТХ","Оборудование","АСК_Картридер","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Картридер (v1.0.1).rfa"
"26.07.2022","ТХ","Оборудование","АСК_Печь_Для полимеризации","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Печь_Для полимеризации (v1.0.1).rfa"
